id,value
ast_test
ast_test.call
ast_test.dct
ast_test.dct.keys
ast_test.dct_v1
ast_test.dct_v1.keys
ast_test.df
ast_test.df.apply
ast_test.df.dropna
ast_test.func
ast_test.inspect
ast_test.inspect.currentframe
ast_test.isinstance
ast_test.len
ast_test.listfiles
ast_test.os
ast_test.os.unlink
ast_test.pd
ast_test.pd.DataFrame
ast_test.print
ast_test.process_file
ast_test.read_config
ast_test.re
ast_test.re.findall
ast_test.re.split
ast_test.row
ast_test.row.astype
ast_test.self
ast_test.self.generic_visit
ast_test.self.get_docstring
ast_test.self.node_information
ast_test.shutil
ast_test.shutil.copy
ast_test.str
ast_test.time
ast_test.time.time
ast_test.to_be_processed
ast_test.to_be_processed.append
ast_test.type
ast_test.x
ast_test.x.endswith
