0,1,2,3,4
1015,4,FunctionDef,real_elements,/sympy/build/lib/sympy/assumptions/ask.py
1034,4,FunctionDef,complex_elements,/sympy/build/lib/sympy/assumptions/ask.py
1055,4,FunctionDef,singular,/sympy/build/lib/sympy/assumptions/ask.py
1080,4,FunctionDef,normal,/sympy/build/lib/sympy/assumptions/ask.py
1103,4,FunctionDef,triangular,/sympy/build/lib/sympy/assumptions/ask.py
1128,4,FunctionDef,unit_triangular,/sympy/build/lib/sympy/assumptions/ask.py
1150,0,FunctionDef,_extract_facts,/sympy/build/lib/sympy/assumptions/ask.py
1183,0,FunctionDef,_extract_all_facts,/sympy/build/lib/sympy/assumptions/ask.py
1205,0,FunctionDef,ask,/sympy/build/lib/sympy/assumptions/ask.py
1292,0,FunctionDef,ask_full_inference,/sympy/build/lib/sympy/assumptions/ask.py
1304,0,FunctionDef,register_handler,/sympy/build/lib/sympy/assumptions/ask.py
1331,0,FunctionDef,remove_handler,/sympy/build/lib/sympy/assumptions/ask.py
1338,0,FunctionDef,single_fact_lookup,/sympy/build/lib/sympy/assumptions/ask.py
1350,0,FunctionDef,compute_known_facts,/sympy/build/lib/sympy/assumptions/ask.py
1459,0,FunctionDef,get_known_facts_keys,/sympy/build/lib/sympy/assumptions/ask.py
1466,0,FunctionDef,get_known_facts,/sympy/build/lib/sympy/assumptions/ask.py
15,0,FunctionDef,get_all_known_facts,/sympy/build/lib/sympy/assumptions/ask_generated.py
93,0,FunctionDef,get_known_facts_cnf,/sympy/build/lib/sympy/assumptions/ask_generated.py
171,0,FunctionDef,get_known_facts_dict,/sympy/build/lib/sympy/assumptions/ask_generated.py
10,0,ClassDef,AssumptionsContext,/sympy/build/lib/sympy/assumptions/assume.py
35,4,FunctionDef,add,/sympy/build/lib/sympy/assumptions/assume.py
40,4,FunctionDef,_sympystr,/sympy/build/lib/sympy/assumptions/assume.py
48,0,ClassDef,AppliedPredicate,/sympy/build/lib/sympy/assumptions/assume.py
64,4,FunctionDef,__new__,/sympy/build/lib/sympy/assumptions/assume.py
70,4,FunctionDef,arg,/sympy/build/lib/sympy/assumptions/assume.py
87,4,FunctionDef,args,/sympy/build/lib/sympy/assumptions/assume.py
91,4,FunctionDef,func,/sympy/build/lib/sympy/assumptions/assume.py
95,4,FunctionDef,sort_key,/sympy/build/lib/sympy/assumptions/assume.py
100,4,FunctionDef,__eq__,/sympy/build/lib/sympy/assumptions/assume.py
105,4,FunctionDef,__hash__,/sympy/build/lib/sympy/assumptions/assume.py
108,4,FunctionDef,_eval_ask,/sympy/build/lib/sympy/assumptions/assume.py
111,4,FunctionDef,binary_symbols,/sympy/build/lib/sympy/assumptions/assume.py
121,0,ClassDef,Predicate,/sympy/build/lib/sympy/assumptions/assume.py
152,4,FunctionDef,__new__,/sympy/build/lib/sympy/assumptions/assume.py
158,4,FunctionDef,_hashable_content,/sympy/build/lib/sympy/assumptions/assume.py
161,4,FunctionDef,__getnewargs__,/sympy/build/lib/sympy/assumptions/assume.py
164,4,FunctionDef,__call__,/sympy/build/lib/sympy/assumptions/assume.py
167,4,FunctionDef,add_handler,/sympy/build/lib/sympy/assumptions/assume.py
170,4,FunctionDef,remove_handler,/sympy/build/lib/sympy/assumptions/assume.py
173,4,FunctionDef,sort_key,/sympy/build/lib/sympy/assumptions/assume.py
177,4,FunctionDef,eval,/sympy/build/lib/sympy/assumptions/assume.py
209,0,FunctionDef,assuming,/sympy/build/lib/sympy/assumptions/assume.py
13,0,ClassDef,Literal,/sympy/build/lib/sympy/assumptions/cnf.py
18,4,FunctionDef,__new__,/sympy/build/lib/sympy/assumptions/cnf.py
29,4,FunctionDef,arg,/sympy/build/lib/sympy/assumptions/cnf.py
33,4,FunctionDef,rcall,/sympy/build/lib/sympy/assumptions/cnf.py
43,4,FunctionDef,__invert__,/sympy/build/lib/sympy/assumptions/cnf.py
47,4,FunctionDef,__str__,/sympy/build/lib/sympy/assumptions/cnf.py
52,4,FunctionDef,__eq__,/sympy/build/lib/sympy/assumptions/cnf.py
55,4,FunctionDef,__hash__,/sympy/build/lib/sympy/assumptions/cnf.py
