line_no,col_offset,type,name,file_name
83,8,Assign,"([<_ast.Name object at 0x805179890>], <_ast.Call object at 0x805179c90>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
84,11,call,len,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
84,31,Num,0,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
85,12,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
85,12,call,logger.debug,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
86,8,Assign,"([<_ast.Name object at 0x805182b10>], <_ast.Call object at 0x805182510>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
87,31,Num,0,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
87,11,call,len,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
88,12,call,logger.debug,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
88,12,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
90,8,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
90,8,call,shutil.move,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
90,37,BinOp,"(<_ast.Str object at 0x805182fd0>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x805182c50>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
91,16,BinOp,"(<_ast.Str object at 0x805182a10>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x805182350>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
91,4,call,logger.info,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
91,4,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
91,41,BinOp,"(<_ast.BinOp object at 0x805182a50>, <_ast.Add object at 0x80101f750>, <_ast.Str object at 0x805182a90>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
92,4,Return,<class '_ast.Name'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
95,0,FunctionDef,list_symbols_used_in_latex_from_sympy,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
103,-1,Expr,<class '_ast.Str'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
104,43,Num,9999999,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
